index,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
117,200.2,73.6136,2.101,,,,15/9-F-11 B
118,200.3,73.6136,2.606,,,,15/9-F-11 B
119,200.4,73.6136,4.801,,,,15/9-F-11 B
120,200.5,73.6136,5.0,,,,15/9-F-11 B
121,200.6,73.6136,5.0,,,,15/9-F-11 B
122,200.7,73.6136,5.0,,,,15/9-F-11 B
123,200.8,73.6136,5.0,,,,15/9-F-11 B
124,200.9,73.6136,5.0,,,,15/9-F-11 B
125,201.0,73.6136,5.101,,,,15/9-F-11 B
126,201.1,73.6136,5.299,,,,15/9-F-11 B
127,201.2,73.6136,4.899,,,,15/9-F-11 B
128,201.3,73.6136,4.501,,,,15/9-F-11 B
129,201.4,73.6136,4.802,,,,15/9-F-11 B
130,201.5,73.6136,5.4,,,,15/9-F-11 B
131,201.6,73.6136,5.501,,,,15/9-F-11 B
132,201.7,73.6136,5.9,,,,15/9-F-11 B
133,201.8,73.6136,6.001,,,,15/9-F-11 B
134,201.9,73.6136,6.501,,,,15/9-F-11 B
135,202.0,73.6136,6.797,,,,15/9-F-11 B
136,202.1,73.6136,5.794,,,,15/9-F-11 B
137,202.2,73.6136,3.799,,,,15/9-F-11 B
138,202.3,73.6136,3.496,,,,15/9-F-11 B
139,202.4,73.6136,1.899,,,,15/9-F-11 B
140,202.5,73.6136,1.501,,,,15/9-F-11 B
141,202.6,73.6136,1.701,,,,15/9-F-11 B
142,202.7,73.6136,1.9,,,,15/9-F-11 B
143,202.8,73.6136,1.901,,,,15/9-F-11 B
144,202.9,73.6136,2.1,,,,15/9-F-11 B
145,203.0,73.6136,2.201,,,,15/9-F-11 B
146,203.1,73.6136,2.701,,,,15/9-F-11 B
147,203.2,73.6136,3.0,,,,15/9-F-11 B
148,203.3,73.6136,2.9,,,,15/9-F-11 B
149,203.4,73.6136,2.8,,,,15/9-F-11 B
150,203.5,73.6136,2.799,,,,15/9-F-11 B
151,203.6,73.6136,2.4,,,,15/9-F-11 B
152,203.7,73.6136,2.303,,,,15/9-F-11 B
153,203.8,73.6136,3.305,,,,15/9-F-11 B
154,203.9,73.6136,5.201,,,,15/9-F-11 B
155,204.0,73.6136,5.4,,,,15/9-F-11 B
156,204.1,73.6136,5.4,,,,15/9-F-11 B
157,204.2,73.6136,5.401,,,,15/9-F-11 B
158,204.3,73.6136,5.602,,,,15/9-F-11 B
159,204.4,73.6136,6.401,,,,15/9-F-11 B
160,204.5,73.6136,6.599,,,,15/9-F-11 B
161,204.6,73.6136,6.399,,,,15/9-F-11 B
162,204.7,73.6136,6.201,,,,15/9-F-11 B
163,204.8,73.6136,6.403,,,,15/9-F-11 B
164,204.9,73.6136,7.501,,,,15/9-F-11 B
165,205.0,73.6136,7.898,,,,15/9-F-11 B
166,205.1,73.6136,7.192,,,,15/9-F-11 B
167,205.2,73.6136,4.298,,,,15/9-F-11 B
168,205.3,73.6136,3.701,,,,15/9-F-11 B
169,205.4,73.6136,3.901,,,,15/9-F-11 B
170,205.5,73.6136,4.401,,,,15/9-F-11 B
171,205.6,73.6136,4.801,,,,15/9-F-11 B
172,205.7,73.6136,5.101,,,,15/9-F-11 B
173,205.8,73.6136,5.302,,,,15/9-F-11 B
174,205.9,73.6136,6.0,,,,15/9-F-11 B
175,206.0,73.6136,6.102,,,,15/9-F-11 B
176,206.1,73.6136,6.898,,,,15/9-F-11 B
177,206.2,73.6136,6.299,,,,15/9-F-11 B
178,206.3,73.6136,6.003,,,,15/9-F-11 B
